video_id,negative_pct,neutral_pct,positive_pct,total_comments
0Ae1eMqHuQQ,0.0,60.0,40.0,5
0JoPB_Q2T0k,0.0,60.0,40.0,5
3BIMiv_koXU,20.0,40.0,40.0,5
4nzl8vDI43s,20.0,80.0,0.0,5
5QIstqUmQvM,0.0,60.0,40.0,5
E0XtpdQafWg,0.0,60.0,40.0,5
G0SwCXuKb5s,0.0,80.0,20.0,5
IBiqp6E44Oo,0.0,80.0,20.0,5
IzMU5l67dVU,20.0,60.0,20.0,5
KgayxOF4Y7E,20.0,60.0,20.0,5
MS4FmWt1GOM,0.0,80.0,20.0,5
NEzP0q-8hBQ,0.0,80.0,20.0,5
RMGc6t28prk,0.0,100.0,0.0,5
ZB-ba-J7aOA,20.0,80.0,0.0,5
ZHFt6wN8QpA,0.0,100.0,0.0,5
b3ok3OKkvUw,0.0,100.0,0.0,5
cmjF3kwqYHg,0.0,60.0,40.0,5
fwm9YJMckIo,0.0,80.0,20.0,5
gz1GLVdIBFo,0.0,100.0,0.0,5
kHVnGbTWoFM,0.0,60.0,40.0,5
mZsDE8pgIHA,0.0,40.0,60.0,5
pv6AfsNo3zo,0.0,100.0,0.0,2
sHeqXlChwrU,0.0,80.0,20.0,5
sjYUyuZNguo,0.0,40.0,60.0,5
tKToXsQNYAE,0.0,100.0,0.0,5
tMLyi1jV50Y,0.0,80.0,20.0,5
u9QQmrfsgpg,0.0,60.0,40.0,5
uWJCPewPwRA,0.0,60.0,40.0,5
ubEvbpuSvbY,0.0,80.0,20.0,5
