video_id,comments,date,time
GCp8X2o3tQc,neutral,2024-09-17,09:02:25
GCp8X2o3tQc,neutral,2024-09-17,09:02:25
GCp8X2o3tQc,neutral,2024-09-17,09:02:25
GCp8X2o3tQc,neutral,2024-09-17,09:02:25
gLilIX5jtLY,neutral,2025-01-14,16:25:22
gLilIX5jtLY,neutral,2025-01-14,16:25:22
gLilIX5jtLY,neutral,2025-01-14,16:25:22
gLilIX5jtLY,neutral,2025-01-14,16:25:22
gLilIX5jtLY,negative,2025-01-14,16:25:22
1Jjj_bitQyA,neutral,2020-06-30,03:00:00
1Jjj_bitQyA,neutral,2020-06-30,03:00:00
1Jjj_bitQyA,positive,2020-06-30,03:00:00
1Jjj_bitQyA,neutral,2020-06-30,03:00:00
1Jjj_bitQyA,neutral,2020-06-30,03:00:00
JYSq80P6C3o,positive,2025-01-07,17:11:37
JYSq80P6C3o,neutral,2025-01-07,17:11:37
JYSq80P6C3o,neutral,2025-01-07,17:11:37
JYSq80P6C3o,neutral,2025-01-07,17:11:37
JYSq80P6C3o,negative,2025-01-07,17:11:37
E9j-Rf6aShI,negative,2023-08-27,15:34:00
E9j-Rf6aShI,positive,2023-08-27,15:34:00
E9j-Rf6aShI,neutral,2023-08-27,15:34:00
E9j-Rf6aShI,neutral,2023-08-27,15:34:00
E9j-Rf6aShI,neutral,2023-08-27,15:34:00
HAN2BYH53d8,neutral,2024-03-23,17:37:01
HAN2BYH53d8,neutral,2024-03-23,17:37:01
HAN2BYH53d8,neutral,2024-03-23,17:37:01
HAN2BYH53d8,positive,2024-03-23,17:37:01
HAN2BYH53d8,positive,2024-03-23,17:37:01
GHJOAA5Trh8,neutral,2025-05-11,08:44:43
GHJOAA5Trh8,positive,2025-05-11,08:44:43
GHJOAA5Trh8,positive,2025-05-11,08:44:43
